,nombres,edades,generos,ciudades,hijos,mascotas
0,persona_0,64,M,Zipaquirá,3,5
1,persona_1,59,F,Cajicá,1,4
2,persona_2,34,F,Cajicá,5,0
3,persona_3,27,F,Bogotá,0,1
4,persona_4,60,M,Cota,5,0
5,persona_5,20,F,Zipaquirá,4,1
6,persona_6,62,F,Bogotá,2,0
7,persona_7,37,F,Cajicá,4,0
8,persona_8,20,F,Zipaquirá,5,1
9,persona_9,21,F,Cajicá,4,5
10,persona_10,57,M,Bogotá,3,3
11,persona_11,34,M,Bogotá,5,1
12,persona_12,68,F,Chía,5,2
13,persona_13,49,F,Cajicá,0,1
14,persona_14,58,M,Bogotá,2,3
15,persona_15,40,F,Zipaquirá,5,1
16,persona_16,39,M,Zipaquirá,5,4
17,persona_17,70,F,Zipaquirá,2,0
18,persona_18,37,M,Cajicá,0,0
19,persona_19,53,M,Chía,2,5
20,persona_20,24,M,Zipaquirá,0,0
21,persona_21,38,F,Zipaquirá,4,0
22,persona_22,36,M,Zipaquirá,3,3
23,persona_23,58,F,Zipaquirá,0,2
24,persona_24,51,F,Chía,4,5
25,persona_25,30,M,Cota,4,2
26,persona_26,47,M,Cajicá,0,2
27,persona_27,38,F,Cajicá,5,3
28,persona_28,59,M,Bogotá,0,2
29,persona_29,37,M,Cota,0,0
30,persona_30,67,M,Chía,2,2
31,persona_31,26,F,Cajicá,1,1
32,persona_32,62,M,Bogotá,2,4
33,persona_33,23,M,Cota,5,1
34,persona_34,26,M,Zipaquirá,5,0
35,persona_35,66,F,Bogotá,4,1
36,persona_36,38,F,Chía,4,1
37,persona_37,33,M,Cota,5,0
38,persona_38,22,M,Bogotá,4,5
39,persona_39,30,F,Cajicá,3,0
40,persona_40,36,M,Cota,0,4
41,persona_41,27,M,Cota,2,2
42,persona_42,21,F,Chía,0,2
43,persona_43,61,M,Cajicá,3,2
44,persona_44,35,F,Zipaquirá,4,2
45,persona_45,36,F,Bogotá,4,3
46,persona_46,54,F,Cota,1,4
47,persona_47,56,F,Bogotá,1,3
48,persona_48,27,F,Cota,0,2
49,persona_49,70,F,Cajicá,4,0
50,persona_50,32,F,Cajicá,1,0
51,persona_51,47,F,Cota,2,0
52,persona_52,59,F,Cajicá,1,2
53,persona_53,25,M,Chía,2,1
54,persona_54,24,M,Bogotá,3,4
55,persona_55,25,F,Bogotá,0,3
56,persona_56,60,M,Chía,3,2
57,persona_57,63,M,Bogotá,4,2
58,persona_58,44,F,Cota,3,5
59,persona_59,54,M,Cajicá,0,1
60,persona_60,26,F,Cajicá,5,0
61,persona_61,47,F,Cota,0,0
62,persona_62,60,M,Chía,3,4
63,persona_63,39,M,Cota,0,0
64,persona_64,44,F,Zipaquirá,5,5
65,persona_65,65,M,Cajicá,2,4
66,persona_66,52,F,Cota,5,3
67,persona_67,46,F,Chía,0,2
68,persona_68,29,F,Chía,1,2
69,persona_69,30,M,Cota,4,2
70,persona_70,31,M,Zipaquirá,5,5
71,persona_71,58,F,Cajicá,4,3
72,persona_72,56,F,Cota,0,4
73,persona_73,35,M,Cota,0,5
74,persona_74,46,F,Chía,0,5
75,persona_75,53,F,Cota,5,3
76,persona_76,63,F,Cota,0,3
77,persona_77,60,M,Cajicá,5,5
78,persona_78,42,F,Cota,1,3
79,persona_79,24,F,Chía,3,4
80,persona_80,43,F,Bogotá,1,5
81,persona_81,37,F,Bogotá,1,4
82,persona_82,57,F,Chía,4,0
83,persona_83,34,F,Chía,0,5
84,persona_84,28,M,Zipaquirá,4,0
85,persona_85,46,M,Cota,1,1
86,persona_86,26,F,Cota,0,3
87,persona_87,66,F,Cota,4,2
88,persona_88,26,F,Cota,1,1
89,persona_89,32,M,Chía,0,5
90,persona_90,43,M,Cajicá,0,1
91,persona_91,60,M,Zipaquirá,1,0
